kind	binding_id	baseline	package	payload	owner	adapter	primary_authority	receipt
COMMAND	edit.paste-plain	bind('edit.paste-plain', lambda _ctx, fn=app.on_paste_plain_text: fn())	bind('edit.paste-plain', lambda _ctx, fn=ports.edit.on_paste_plain_text: fn())	CommandContext	explicit ApplicationCommandPorts family	command layer lambda/bind_toggle	HEADLESS	W104 exact stable command/binding contract
COMMAND	edit.redo	bind('edit.redo', lambda _ctx, fn=app.on_redo: fn())	bind('edit.redo', lambda _ctx, fn=ports.edit.on_redo: fn())	CommandContext	explicit ApplicationCommandPorts family	command layer lambda/bind_toggle	HEADLESS	W104 exact stable command/binding contract
COMMAND	edit.replace-all	bind('edit.replace-all', lambda _ctx, fn=app.on_replace_all_dialog: fn())	bind('edit.replace-all', lambda _ctx, fn=ports.edit.on_replace_all_dialog: fn())	CommandContext	explicit ApplicationCommandPorts family	command layer lambda/bind_toggle	HEADLESS	W104 exact stable command/binding contract
COMMAND	edit.select-all	bind('edit.select-all', lambda _ctx, fn=app.on_select_all: fn())	bind('edit.select-all', lambda _ctx, fn=ports.edit.on_select_all: fn())	CommandContext	explicit ApplicationCommandPorts family	command layer lambda/bind_toggle	BEHAVIORAL-GTK	current W108 true-App exact observable receipt
COMMAND	edit.undo	bind('edit.undo', lambda _ctx, fn=app.on_undo: fn())	bind('edit.undo', lambda _ctx, fn=ports.edit.on_undo: fn())	CommandContext	explicit ApplicationCommandPorts family	command layer lambda/bind_toggle	HEADLESS	W104 exact stable command/binding contract
COMMAND	edit.uppercase	bind('edit.uppercase', lambda _ctx, fn=app.on_uppercase: fn())	bind('edit.uppercase', lambda _ctx, fn=ports.edit.on_uppercase: fn())	CommandContext	explicit ApplicationCommandPorts family	command layer lambda/bind_toggle	HEADLESS	W104 exact stable command/binding contract
COMMAND	file.favourite.add	bind('file.favourite.add', lambda _ctx, fn=app.on_add_favourite: fn())	bind('file.favourite.add', lambda _ctx, fn=ports.file.on_add_favourite: fn())	CommandContext	explicit ApplicationCommandPorts family	command layer lambda/bind_toggle	HEADLESS	W104 exact stable command/binding contract
COMMAND	file.favourite.edit	bind('file.favourite.edit', lambda _ctx, fn=app.on_edit_favourites: fn())	bind('file.favourite.edit', lambda _ctx, fn=ports.file.on_edit_favourites: fn())	CommandContext	explicit ApplicationCommandPorts family	command layer lambda/bind_toggle	HEADLESS	W104 exact stable command/binding contract
COMMAND	file.favourite.open	"bind(""file.favourite.open"", lambda ctx: app.open_favourite_path(_required(ctx, ""path"", str)))"	"bind(""file.favourite.open"", lambda ctx: ports.file.open_favourite_path(_required(ctx, ""path"", str)))"	CommandContext	explicit ApplicationCommandPorts family	command layer lambda/bind_toggle	HEADLESS	W104 exact stable command/binding contract
COMMAND	file.favourite.reload	bind('file.favourite.reload', lambda _ctx, fn=app.on_reload_favourites: fn())	bind('file.favourite.reload', lambda _ctx, fn=ports.file.on_reload_favourites: fn())	CommandContext	explicit ApplicationCommandPorts family	command layer lambda/bind_toggle	HEADLESS	W104 exact stable command/binding contract
COMMAND	file.new	bind('file.new', lambda _ctx, fn=app.on_new: fn())	bind('file.new', lambda _ctx, fn=ports.file.on_new: fn())	CommandContext	explicit ApplicationCommandPorts family	command layer lambda/bind_toggle	HEADLESS	W104 exact stable command/binding contract
COMMAND	file.open	bind('file.open', lambda _ctx, fn=app.on_open: fn())	bind('file.open', lambda _ctx, fn=ports.file.on_open: fn())	CommandContext	explicit ApplicationCommandPorts family	command layer lambda/bind_toggle	HEADLESS	W104 exact stable command/binding contract
COMMAND	file.open-drop	"bind(""file.open-drop"", lambda ctx: app.open_path(_required(ctx, ""path"", str)) if app.may_continue() else False)"	"bind(""file.open-drop"", lambda ctx: ports.file.open_path(_required(ctx, ""path"", str)) if ports.file.may_continue() else False)"	CommandContext	explicit ApplicationCommandPorts family	command layer lambda/bind_toggle	BEHAVIORAL-GTK	current W108 true-App exact observable receipt
COMMAND	file.print	bind('file.print', lambda _ctx, fn=app.on_print: fn())	bind('file.print', lambda _ctx, fn=ports.file.on_print: fn())	CommandContext	explicit ApplicationCommandPorts family	command layer lambda/bind_toggle	HEADLESS	W104 exact stable command/binding contract
COMMAND	file.print-preview	bind('file.print-preview', lambda _ctx, fn=app.on_print_preview: fn())	bind('file.print-preview', lambda _ctx, fn=ports.file.on_print_preview: fn())	CommandContext	explicit ApplicationCommandPorts family	command layer lambda/bind_toggle	HEADLESS	W104 exact stable command/binding contract
COMMAND	file.quit	bind('file.quit', lambda _ctx, fn=app.on_quit: fn())	bind('file.quit', lambda _ctx, fn=ports.file.on_quit: fn())	CommandContext	explicit ApplicationCommandPorts family	command layer lambda/bind_toggle	BEHAVIORAL-GTK	current W108 true-App exact observable receipt
COMMAND	file.recent.clear	"bind(""file.recent.clear"", lambda _ctx: app.on_clear_recent())"	"bind(""file.recent.clear"", lambda _ctx: ports.file.on_clear_recent())"	CommandContext	explicit ApplicationCommandPorts family	command layer lambda/bind_toggle	HEADLESS	W104 exact stable command/binding contract
COMMAND	file.recent.open	"bind(""file.recent.open"", lambda ctx: app.open_recent_path(_required(ctx, ""path"", str)))"	"bind(""file.recent.open"", lambda ctx: ports.file.open_recent_path(_required(ctx, ""path"", str)))"	CommandContext	explicit ApplicationCommandPorts family	command layer lambda/bind_toggle	HEADLESS	W104 exact stable command/binding contract
COMMAND	file.save	bind('file.save', lambda _ctx, fn=app.on_save: fn())	bind('file.save', lambda _ctx, fn=ports.file.on_save: fn())	CommandContext	explicit ApplicationCommandPorts family	command layer lambda/bind_toggle	BEHAVIORAL-GTK	current W108 true-App exact observable receipt
COMMAND	file.save-as	bind('file.save-as', lambda _ctx, fn=app.on_save_as: fn())	bind('file.save-as', lambda _ctx, fn=ports.file.on_save_as: fn())	CommandContext	explicit ApplicationCommandPorts family	command layer lambda/bind_toggle	HEADLESS	W104 exact stable command/binding contract
COMMAND	file.template.manage	bind('file.template.manage', lambda _ctx, fn=app.on_manage_templates: fn())	bind('file.template.manage', lambda _ctx, fn=ports.file.on_manage_templates: fn())	CommandContext	explicit ApplicationCommandPorts family	command layer lambda/bind_toggle	HEADLESS	W104 exact stable command/binding contract
COMMAND	file.template.open	"bind(""file.template.open"", lambda ctx: app.on_new_from_template(_required(ctx, ""path"", str)))"	"bind(""file.template.open"", lambda ctx: ports.file.on_new_from_template(_required(ctx, ""path"", str)))"	CommandContext	explicit ApplicationCommandPorts family	command layer lambda/bind_toggle	HEADLESS	W104 exact stable command/binding contract
COMMAND	file.template.save	bind('file.template.save', lambda _ctx, fn=app.on_save_as_template: fn())	bind('file.template.save', lambda _ctx, fn=ports.file.on_save_as_template: fn())	CommandContext	explicit ApplicationCommandPorts family	command layer lambda/bind_toggle	HEADLESS	W104 exact stable command/binding contract
COMMAND	file.workspace.close	bind('file.workspace.close', lambda _ctx, fn=app.on_close_workspace: fn())	bind('file.workspace.close', lambda _ctx, fn=ports.file.on_close_workspace: fn())	CommandContext	explicit ApplicationCommandPorts family	command layer lambda/bind_toggle	HEADLESS	W104 exact stable command/binding contract
COMMAND	file.workspace.duplicate	bind('file.workspace.duplicate', lambda _ctx, fn=app.on_duplicate_workspace_file: fn())	bind('file.workspace.duplicate', lambda _ctx, fn=ports.file.on_duplicate_workspace_file: fn())	CommandContext	explicit ApplicationCommandPorts family	command layer lambda/bind_toggle	HEADLESS	W104 exact stable command/binding contract
COMMAND	file.workspace.new-folder	bind('file.workspace.new-folder', lambda _ctx, fn=app.on_new_workspace_folder: fn())	bind('file.workspace.new-folder', lambda _ctx, fn=ports.file.on_new_workspace_folder: fn())	CommandContext	explicit ApplicationCommandPorts family	command layer lambda/bind_toggle	HEADLESS	W104 exact stable command/binding contract
COMMAND	file.workspace.new-text-file	bind('file.workspace.new-text-file', lambda _ctx, fn=app.on_new_workspace_text_file: fn())	bind('file.workspace.new-text-file', lambda _ctx, fn=ports.file.on_new_workspace_text_file: fn())	CommandContext	explicit ApplicationCommandPorts family	command layer lambda/bind_toggle	HEADLESS	W104 exact stable command/binding contract
COMMAND	file.workspace.recent.open	"bind(""file.workspace.recent.open"", lambda ctx: app.activate_workspace_path(_required(ctx, ""path"", str)))"	"bind(""file.workspace.recent.open"", lambda ctx: ports.file.activate_workspace_path(_required(ctx, ""path"", str)))"	CommandContext	explicit ApplicationCommandPorts family	command layer lambda/bind_toggle	HEADLESS	W104 exact stable command/binding contract
COMMAND	file.workspace.refresh	bind('file.workspace.refresh', lambda _ctx, fn=app.on_refresh_workspace: fn())	bind('file.workspace.refresh', lambda _ctx, fn=ports.file.on_refresh_workspace: fn())	CommandContext	explicit ApplicationCommandPorts family	command layer lambda/bind_toggle	HEADLESS	W104 exact stable command/binding contract
COMMAND	file.workspace.rename	bind('file.workspace.rename', lambda _ctx, fn=app.on_rename_workspace_item: fn())	bind('file.workspace.rename', lambda _ctx, fn=ports.file.on_rename_workspace_item: fn())	CommandContext	explicit ApplicationCommandPorts family	command layer lambda/bind_toggle	HEADLESS	W104 exact stable command/binding contract
COMMAND	file.workspace.reveal	bind('file.workspace.reveal', lambda _ctx, fn=app.on_reveal_workspace: fn())	bind('file.workspace.reveal', lambda _ctx, fn=ports.file.on_reveal_workspace: fn())	CommandContext	explicit ApplicationCommandPorts family	command layer lambda/bind_toggle	HEADLESS	W104 exact stable command/binding contract
COMMAND	file.workspace.select-folder	bind('file.workspace.select-folder', lambda _ctx, fn=app.on_select_workspace_folder: fn())	bind('file.workspace.select-folder', lambda _ctx, fn=ports.file.on_select_workspace_folder: fn())	CommandContext	explicit ApplicationCommandPorts family	command layer lambda/bind_toggle	HEADLESS	W104 exact stable command/binding contract
COMMAND	file.workspace.show-panel	bind('file.workspace.show-panel', lambda _ctx, fn=app.show_workspace_panel: fn())	bind('file.workspace.show-panel', lambda _ctx, fn=ports.file.show_workspace_panel: fn())	CommandContext	explicit ApplicationCommandPorts family	command layer lambda/bind_toggle	HEADLESS	W104 exact stable command/binding contract
COMMAND	file.workspace.trash	bind('file.workspace.trash', lambda _ctx, fn=app.on_move_workspace_item_to_trash: fn())	bind('file.workspace.trash', lambda _ctx, fn=ports.file.on_move_workspace_item_to_trash: fn())	CommandContext	explicit ApplicationCommandPorts family	command layer lambda/bind_toggle	HEADLESS	W104 exact stable command/binding contract
COMMAND	help.about	bind('help.about', lambda _ctx, fn=app.on_about: fn())	bind('help.about', lambda _ctx, fn=ports.help.on_about: fn())	CommandContext	explicit ApplicationCommandPorts family	command layer lambda/bind_toggle	BEHAVIORAL-GTK	current W108 true-App exact observable receipt
COMMAND	help.keyboard-shortcuts	bind('help.keyboard-shortcuts', lambda _ctx, fn=app.on_keyboard_shortcuts: fn())	bind('help.keyboard-shortcuts', lambda _ctx, fn=ports.help.on_keyboard_shortcuts: fn())	CommandContext	explicit ApplicationCommandPorts family	command layer lambda/bind_toggle	HEADLESS	W104 exact stable command/binding contract
COMMAND	help.user-guide	bind('help.user-guide', lambda _ctx, fn=app.on_user_guide: fn())	bind('help.user-guide', lambda _ctx, fn=ports.help.on_user_guide: fn())	CommandContext	explicit ApplicationCommandPorts family	command layer lambda/bind_toggle	HEADLESS	W104 exact stable command/binding contract
COMMAND	navigate.bookmark.manage	bind('navigate.bookmark.manage', lambda _ctx, fn=app.on_manage_bookmarks: fn())	bind('navigate.bookmark.manage', lambda _ctx, fn=ports.navigate.on_manage_bookmarks: fn())	CommandContext	explicit ApplicationCommandPorts family	command layer lambda/bind_toggle	HEADLESS	W104 exact stable command/binding contract
COMMAND	navigate.bookmark.next	bind('navigate.bookmark.next', lambda _ctx, fn=app.next_bookmark: fn())	bind('navigate.bookmark.next', lambda _ctx, fn=ports.navigate.next_bookmark: fn())	CommandContext	explicit ApplicationCommandPorts family	command layer lambda/bind_toggle	HEADLESS	W104 exact stable command/binding contract
COMMAND	navigate.bookmark.previous	bind('navigate.bookmark.previous', lambda _ctx, fn=app.previous_bookmark: fn())	bind('navigate.bookmark.previous', lambda _ctx, fn=ports.navigate.previous_bookmark: fn())	CommandContext	explicit ApplicationCommandPorts family	command layer lambda/bind_toggle	HEADLESS	W104 exact stable command/binding contract
COMMAND	navigate.bookmark.toggle	bind('navigate.bookmark.toggle', lambda _ctx, fn=app.toggle_bookmark: fn())	bind('navigate.bookmark.toggle', lambda _ctx, fn=ports.navigate.toggle_bookmark: fn())	CommandContext	explicit ApplicationCommandPorts family	command layer lambda/bind_toggle	HEADLESS	W104 exact stable command/binding contract
COMMAND	navigate.document-overview	bind('navigate.document-overview', lambda _ctx, fn=app.on_document_overview: fn())	bind('navigate.document-overview', lambda _ctx, fn=ports.navigate.on_document_overview: fn())	CommandContext	explicit ApplicationCommandPorts family	command layer lambda/bind_toggle	HEADLESS	W104 exact stable command/binding contract
COMMAND	navigate.go-line	bind('navigate.go-line', lambda _ctx, fn=app.on_go_to_line: fn())	bind('navigate.go-line', lambda _ctx, fn=ports.navigate.on_go_to_line: fn())	CommandContext	explicit ApplicationCommandPorts family	command layer lambda/bind_toggle	HEADLESS	W104 exact stable command/binding contract
COMMAND	navigate.go-section	bind('navigate.go-section', lambda _ctx, fn=app.on_go_to_section: fn())	bind('navigate.go-section', lambda _ctx, fn=ports.navigate.on_go_to_section: fn())	CommandContext	explicit ApplicationCommandPorts family	command layer lambda/bind_toggle	HEADLESS	W104 exact stable command/binding contract
COMMAND	navigate.heading.next	bind('navigate.heading.next', lambda _ctx, fn=app.on_next_heading: fn())	bind('navigate.heading.next', lambda _ctx, fn=ports.navigate.on_next_heading: fn())	CommandContext	explicit ApplicationCommandPorts family	command layer lambda/bind_toggle	HEADLESS	W104 exact stable command/binding contract
COMMAND	navigate.heading.previous	bind('navigate.heading.previous', lambda _ctx, fn=app.on_previous_heading: fn())	bind('navigate.heading.previous', lambda _ctx, fn=ports.navigate.on_previous_heading: fn())	CommandContext	explicit ApplicationCommandPorts family	command layer lambda/bind_toggle	HEADLESS	W104 exact stable command/binding contract
COMMAND	navigate.navigator-panel	"bind_toggle(""navigate.navigator-panel"", app.on_navigator_item_toggled, app.toggle_navigator_panel)"	"bind_toggle(""navigate.navigator-panel"", ports.navigate.on_navigator_item_toggled, ports.navigate.toggle_navigator_panel)"	CommandContext	explicit ApplicationCommandPorts family	command layer lambda/bind_toggle	BEHAVIORAL-GTK	W108_NAVIGATOR_PANEL_TRUE_GTK + historical W101 Navigator visibility
COMMAND	navigate.workspace-panel	"bind_toggle(""navigate.workspace-panel"", app.on_workspace_item_toggled, app.toggle_workspace_panel)"	"bind_toggle(""navigate.workspace-panel"", ports.navigate.on_workspace_item_toggled, ports.navigate.toggle_workspace_panel)"	CommandContext	explicit ApplicationCommandPorts family	command layer lambda/bind_toggle	HEADLESS	W104 exact stable command/binding contract
COMMAND	options.always-on-top	"bind_toggle(""options.always-on-top"", app.on_top, app.toggle_always_on_top)"	"bind_toggle(""options.always-on-top"", ports.options.on_top, ports.options.toggle_always_on_top)"	CommandContext	explicit ApplicationCommandPorts family	command layer lambda/bind_toggle	HEADLESS	W104 exact stable command/binding contract
COMMAND	options.appearance.dark	"bind(""options.appearance.dark"", lambda ctx: app.on_dark_mode(_ActiveValue(_required(ctx, ""active"", bool))))"	"bind(""options.appearance.dark"", lambda ctx: ports.options.on_dark_mode(_ActiveValue(_required(ctx, ""active"", bool))))"	CommandContext	explicit ApplicationCommandPorts family	command layer lambda/bind_toggle	HEADLESS	W104 exact stable command/binding contract
COMMAND	options.appearance.light	"bind(""options.appearance.light"", lambda ctx: app.on_white_background(_ActiveValue(_required(ctx, ""active"", bool))))"	"bind(""options.appearance.light"", lambda ctx: ports.options.on_white_background(_ActiveValue(_required(ctx, ""active"", bool))))"	CommandContext	explicit ApplicationCommandPorts family	command layer lambda/bind_toggle	HEADLESS	W104 exact stable command/binding contract
COMMAND	options.font	bind('options.font', lambda _ctx, fn=app.on_font: fn())	bind('options.font', lambda _ctx, fn=ports.options.on_font: fn())	CommandContext	explicit ApplicationCommandPorts family	command layer lambda/bind_toggle	HEADLESS	W104 exact stable command/binding contract
COMMAND	options.font-size.adjust	"bind(""options.font-size.adjust"", lambda ctx: app.change_font(_int_in(ctx, ""delta"", {-1, 1})))"	"bind(""options.font-size.adjust"", lambda ctx: ports.options.change_font(_int_in(ctx, ""delta"", {-1, 1})))"	CommandContext	explicit ApplicationCommandPorts family	command layer lambda/bind_toggle	HEADLESS	W104 exact stable command/binding contract
COMMAND	options.line-numbers	"bind_toggle(""options.line-numbers"", app.on_line_numbers, app.toggle_line_numbers)"	"bind_toggle(""options.line-numbers"", ports.options.on_line_numbers, ports.options.toggle_line_numbers)"	CommandContext	explicit ApplicationCommandPorts family	command layer lambda/bind_toggle	HEADLESS	W104 exact stable command/binding contract
COMMAND	options.opacity.select	bind('options.opacity.select', lambda _ctx, fn=app.on_opacity_selection: fn())	bind('options.opacity.select', lambda _ctx, fn=ports.options.on_opacity_selection: fn())	CommandContext	explicit ApplicationCommandPorts family	command layer lambda/bind_toggle	HEADLESS	W104 exact stable command/binding contract
COMMAND	options.opacity.set	"bind(""options.opacity.set"", lambda ctx: app.set_opacity_value(_int_in(ctx, ""percent"", {30, 40, 50, 60, 70, 80, 88, 90, 100})))"	"bind(""options.opacity.set"", lambda ctx: ports.options.set_opacity_value(_int_in(ctx, ""percent"", {30, 40, 50, 60, 70, 80, 88, 90, 100})))"	CommandContext	explicit ApplicationCommandPorts family	command layer lambda/bind_toggle	HEADLESS	W104 exact stable command/binding contract
COMMAND	options.transparent-mode	"bind_toggle(""options.transparent-mode"", app.on_transparent_mode, app.toggle_transparent_mode)"	"bind_toggle(""options.transparent-mode"", ports.options.on_transparent_mode, ports.options.toggle_transparent_mode)"	CommandContext	explicit ApplicationCommandPorts family	command layer lambda/bind_toggle	HEADLESS	W104 exact stable command/binding contract
COMMAND	options.word-wrap	"bind_toggle(""options.word-wrap"", app.on_word_wrap, app.toggle_word_wrap)"	"bind_toggle(""options.word-wrap"", ports.options.on_word_wrap, ports.options.toggle_word_wrap)"	CommandContext	explicit ApplicationCommandPorts family	command layer lambda/bind_toggle	BEHAVIORAL-GTK	current W108 true-App exact observable receipt
COMMAND	research.authoring-bridge	bind('research.authoring-bridge', lambda _ctx, fn=app.show_authoring_bridge: fn())	bind('research.authoring-bridge', lambda _ctx, fn=ports.research.show_authoring_bridge: fn())	CommandContext	explicit ApplicationCommandPorts family	command layer lambda/bind_toggle	HISTORICAL-FROZEN	W88 true-App stable-command supersession receipt
COMMAND	research.bibliography	bind('research.bibliography', lambda _ctx, fn=app.show_references: fn())	bind('research.bibliography', lambda _ctx, fn=ports.research.show_references: fn())	CommandContext	explicit ApplicationCommandPorts family	command layer lambda/bind_toggle	HEADLESS	W104 exact stable command/binding contract
COMMAND	research.capture-scratchpad	bind('research.capture-scratchpad', lambda _ctx, fn=app.on_capture_selection_in_scratchpad: fn())	bind('research.capture-scratchpad', lambda _ctx, fn=ports.research.on_capture_selection_in_scratchpad: fn())	CommandContext	explicit ApplicationCommandPorts family	command layer lambda/bind_toggle	HEADLESS	W104 exact stable command/binding contract
COMMAND	research.check	bind('research.check', lambda _ctx, fn=app.on_research_check: fn())	bind('research.check', lambda _ctx, fn=ports.research.on_research_check: fn())	CommandContext	explicit ApplicationCommandPorts family	command layer lambda/bind_toggle	HEADLESS	W104 exact stable command/binding contract
COMMAND	research.clips	bind('research.clips', lambda _ctx, fn=app.show_clip_collection: fn())	bind('research.clips', lambda _ctx, fn=ports.research.show_clip_collection: fn())	CommandContext	explicit ApplicationCommandPorts family	command layer lambda/bind_toggle	HEADLESS	W104 exact stable command/binding contract
COMMAND	research.create-source-note	bind('research.create-source-note', lambda _ctx, fn=app.on_create_source_note_from_selection: fn())	bind('research.create-source-note', lambda _ctx, fn=ports.research.on_create_source_note_from_selection: fn())	CommandContext	explicit ApplicationCommandPorts family	command layer lambda/bind_toggle	HISTORICAL-FROZEN	W88 true-App stable-command supersession receipt
COMMAND	research.export-apparatus	bind('research.export-apparatus', lambda _ctx, fn=app.on_export_research_apparatus: fn())	bind('research.export-apparatus', lambda _ctx, fn=ports.research.on_export_research_apparatus: fn())	CommandContext	explicit ApplicationCommandPorts family	command layer lambda/bind_toggle	HEADLESS	W104 exact stable command/binding contract
COMMAND	research.export-bib	bind('research.export-bib', lambda _ctx, fn=app.on_export_references_bibtex_biblatex: fn())	bind('research.export-bib', lambda _ctx, fn=ports.research.on_export_references_bibtex_biblatex: fn())	CommandContext	explicit ApplicationCommandPorts family	command layer lambda/bind_toggle	HEADLESS	W104 exact stable command/binding contract
COMMAND	research.export-bibliography-markdown	bind('research.export-bibliography-markdown', lambda _ctx, fn=app.on_export_bibliography_markdown: fn())	bind('research.export-bibliography-markdown', lambda _ctx, fn=ports.research.on_export_bibliography_markdown: fn())	CommandContext	explicit ApplicationCommandPorts family	command layer lambda/bind_toggle	HEADLESS	W104 exact stable command/binding contract
COMMAND	research.export-bibliography-text	bind('research.export-bibliography-text', lambda _ctx, fn=app.on_export_bibliography_text: fn())	bind('research.export-bibliography-text', lambda _ctx, fn=ports.research.on_export_bibliography_text: fn())	CommandContext	explicit ApplicationCommandPorts family	command layer lambda/bind_toggle	HEADLESS	W104 exact stable command/binding contract
COMMAND	research.export-pandoc	bind('research.export-pandoc', lambda _ctx, fn=app.on_export_with_pandoc: fn())	bind('research.export-pandoc', lambda _ctx, fn=ports.research.on_export_with_pandoc: fn())	CommandContext	explicit ApplicationCommandPorts family	command layer lambda/bind_toggle	HEADLESS	W104 exact stable command/binding contract
COMMAND	research.import-bib	bind('research.import-bib', lambda _ctx, fn=app.on_import_bibtex_biblatex: fn())	bind('research.import-bib', lambda _ctx, fn=ports.research.on_import_bibtex_biblatex: fn())	CommandContext	explicit ApplicationCommandPorts family	command layer lambda/bind_toggle	HEADLESS	W104 exact stable command/binding contract
COMMAND	research.insert-clip	bind('research.insert-clip', lambda _ctx, fn=app.on_insert_clip: fn())	bind('research.insert-clip', lambda _ctx, fn=ports.research.on_insert_clip: fn())	CommandContext	explicit ApplicationCommandPorts family	command layer lambda/bind_toggle	HEADLESS	W104 exact stable command/binding contract
COMMAND	research.insert-clip-slot	"bind(""research.insert-clip-slot"", lambda ctx: app.insert_clip_number(_int_in(ctx, ""number"", set(range(1, 10)))))"	"bind(""research.insert-clip-slot"", lambda ctx: ports.research.insert_clip_number(_int_in(ctx, ""number"", set(range(1, 10)))))"	CommandContext	explicit ApplicationCommandPorts family	command layer lambda/bind_toggle	HEADLESS	W104 exact stable command/binding contract
COMMAND	research.insert-heading-link	bind('research.insert-heading-link', lambda _ctx, fn=app.on_insert_link_to_heading: fn())	bind('research.insert-heading-link', lambda _ctx, fn=ports.research.on_insert_link_to_heading: fn())	CommandContext	explicit ApplicationCommandPorts family	command layer lambda/bind_toggle	HISTORICAL-FROZEN	W88 true-App stable-command supersession receipt
COMMAND	research.new-scratchpad-section	bind('research.new-scratchpad-section', lambda _ctx, fn=app.on_new_scratchpad_for_current_section: fn())	bind('research.new-scratchpad-section', lambda _ctx, fn=ports.research.on_new_scratchpad_for_current_section: fn())	CommandContext	explicit ApplicationCommandPorts family	command layer lambda/bind_toggle	HEADLESS	W104 exact stable command/binding contract
COMMAND	research.open-bibliography	bind('research.open-bibliography', lambda _ctx, fn=app.on_open_bibliography_file: fn())	bind('research.open-bibliography', lambda _ctx, fn=ports.research.on_open_bibliography_file: fn())	CommandContext	explicit ApplicationCommandPorts family	command layer lambda/bind_toggle	HEADLESS	W104 exact stable command/binding contract
COMMAND	research.open-citation	bind('research.open-citation', lambda _ctx, fn=app.on_open_citation_in_references: fn())	bind('research.open-citation', lambda _ctx, fn=ports.research.on_open_citation_in_references: fn())	CommandContext	explicit ApplicationCommandPorts family	command layer lambda/bind_toggle	HEADLESS	W104 exact stable command/binding contract
COMMAND	research.panel	"bind_toggle(""research.panel"", app.on_research_item_toggled, app.toggle_research_panel)"	"bind_toggle(""research.panel"", ports.research.on_research_item_toggled, ports.research.toggle_research_panel)"	CommandContext	explicit ApplicationCommandPorts family	command layer lambda/bind_toggle	BEHAVIORAL-GTK	current W108 true-App exact observable receipt
COMMAND	research.quick-cite	bind('research.quick-cite', lambda _ctx, fn=app.on_quick_cite: fn())	bind('research.quick-cite', lambda _ctx, fn=ports.research.on_quick_cite: fn())	CommandContext	explicit ApplicationCommandPorts family	command layer lambda/bind_toggle	HEADLESS	W104 exact stable command/binding contract
